Date,Time,Open,High,Low,Close,Tick volume
2024.09.09,00:00:00,0.52067,0.52142,0.52051,0.52112,2560
2024.09.09,01:00:00,0.52113,0.52281,0.52112,0.52271,2706
2024.09.09,02:00:00,0.52273,0.52285,0.52237,0.52264,1621
2024.09.09,03:00:00,0.52264,0.52271,0.52165,0.52177,1360
2024.09.09,04:00:00,0.52176,0.52223,0.52167,0.52185,1183
2024.09.09,05:00:00,0.52183,0.52183,0.52098,0.52127,1424
2024.09.09,06:00:00,0.5213,0.52135,0.52039,0.52051,2714
2024.09.09,07:00:00,0.52051,0.52117,0.52022,0.52055,3169
2024.09.09,08:00:00,0.52061,0.52061,0.51968,0.52041,2447
2024.09.09,09:00:00,0.52044,0.52073,0.52007,0.52023,1674
2024.09.09,10:00:00,0.52022,0.52047,0.5197,0.52043,1551
2024.09.09,11:00:00,0.52043,0.52114,0.52032,0.52104,1399
2024.09.09,12:00:00,0.52104,0.5211,0.5204,0.52071,2401
2024.09.09,13:00:00,0.52071,0.5214,0.5206,0.52127,3200
2024.09.09,14:00:00,0.52127,0.52138,0.52026,0.52044,4136
2024.09.09,15:00:00,0.52043,0.52135,0.52001,0.5213,3358
2024.09.09,16:00:00,0.52131,0.52212,0.52123,0.52206,2100
2024.09.09,17:00:00,0.52205,0.52226,0.52158,0.52159,1787
2024.09.09,18:00:00,0.5216,0.52171,0.52101,0.52104,1437
2024.09.09,19:00:00,0.52087,0.52151,0.52068,0.52147,1565
2024.09.09,20:00:00,0.52147,0.52189,0.52136,0.52164,1304
2024.09.09,21:00:00,0.52159,0.52179,0.51969,0.52177,1141
2024.09.09,22:00:00,0.52176,0.52213,0.52162,0.52183,733
2024.09.09,23:00:00,0.52182,0.52202,0.5216,0.52166,684
2024.09.10,00:00:00,0.52169,0.52174,0.52077,0.52101,2159
2024.09.10,01:00:00,0.52101,0.52149,0.52096,0.52143,1711
2024.09.10,02:00:00,0.52143,0.52146,0.52077,0.52116,1355
2024.09.10,03:00:00,0.52116,0.52162,0.52115,0.52146,903
2024.09.10,04:00:00,0.52145,0.52175,0.52144,0.52157,616
2024.09.10,05:00:00,0.52157,0.52219,0.52147,0.52205,1223
2024.09.10,06:00:00,0.52206,0.5227,0.52167,0.52225,1869
2024.09.10,07:00:00,0.52227,0.52238,0.5218,0.52191,2464
2024.09.10,08:00:00,0.52191,0.52211,0.52148,0.52152,1951
2024.09.10,09:00:00,0.52152,0.52225,0.52111,0.52198,1901
2024.09.10,10:00:00,0.52198,0.52223,0.52178,0.52217,1484
2024.09.10,11:00:00,0.5222,0.52246,0.52153,0.52163,1770
2024.09.10,12:00:00,0.52162,0.52188,0.52072,0.52093,2742
2024.09.10,13:00:00,0.52092,0.52148,0.52045,0.52113,3766
2024.09.10,14:00:00,0.52112,0.52124,0.52012,0.52116,5430
2024.09.10,15:00:00,0.52117,0.52154,0.52047,0.52051,3208
