# stage, id, task_id, link_type, link_id, artifact_type, file_name, target_file
'Before', '1657', '149', 'test_metrics', '206', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1657', '149', 'test_metrics', '206', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1658', '149', 'test_metrics', '206', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '1658', '149', 'test_metrics', '206', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '1656', '149', NULL, NULL, 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'After', '1656', '149', 'test_metrics', '206', 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'Before', '640', '149', 'test_metrics', '105', 'output_set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'Before', '641', '149', 'test_metrics', '105', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'Before', '642', '149', 'test_metrics', '105', 'output_html', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.htm', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'Before', '643', '149', 'test_metrics', '105', 'output_gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'After', '640', '149', 'test_metrics', '105', 'output_set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'After', '641', '149', 'test_metrics', '105', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'After', '642', '149', 'test_metrics', '105', 'output_html', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.htm', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'After', '643', '149', 'test_metrics', '105', 'output_gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30.gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S30'
'Before', '639', '149', 'test_metrics', '105', 'input_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'After', '639', '149', 'test_metrics', '105', 'input_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'Before', '637', '149', 'test_metrics', '105', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'After', '637', '149', 'test_metrics', '105', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'Before', '638', '149', 'test_metrics', '105', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'After', '638', '149', 'test_metrics', '105', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23'
'Before', '644', '149', NULL, NULL, 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set'
'After', '644', '149', 'test_metrics', '105', 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-23.set'
'Before', '632', '149', 'test_metrics', '104', 'output_set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'Before', '633', '149', 'test_metrics', '104', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'Before', '634', '149', 'test_metrics', '104', 'output_html', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.htm', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'Before', '635', '149', 'test_metrics', '104', 'output_gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'After', '632', '149', 'test_metrics', '104', 'output_set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.set', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'After', '633', '149', 'test_metrics', '104', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'After', '634', '149', 'test_metrics', '104', 'output_html', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.htm', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'After', '635', '149', 'test_metrics', '104', 'output_gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29.gif', 'PX3.71_EURCHF_M30_1500_P163_DD121_20220926-20250924_SL200_WR47.06_PF1.98_T34_M1406717436_V1_S29'
'Before', '631', '149', 'test_metrics', '104', 'input_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'After', '631', '149', 'test_metrics', '104', 'input_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'Before', '629', '149', 'test_metrics', '104', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'After', '629', '149', 'test_metrics', '104', 'input_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'Before', '630', '149', 'test_metrics', '104', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'After', '630', '149', 'test_metrics', '104', 'input_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40'
'Before', '636', '149', NULL, NULL, 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set'
'After', '636', '149', 'test_metrics', '104', 'Best Pass set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-40.set'
'Before', '619', '149', 'test_metrics', '103', 'output_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '620', '149', 'test_metrics', '103', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '621', '149', 'test_metrics', '103', 'output_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '622', '149', 'test_metrics', '103', 'output_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '623', '149', 'test_metrics', '103', 'ai_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '624', '149', 'test_metrics', '103', 'ai_json', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '625', '149', 'test_metrics', '103', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '626', '149', NULL, NULL, 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '627', '149', 'optimization_reports', '8', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '628', '149', 'optimization_reports', '8', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '619', '149', 'test_metrics', '103', 'output_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '620', '149', 'test_metrics', '103', 'summary_metrics_csv', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28_summary_metrics.csv', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '621', '149', 'test_metrics', '103', 'output_html', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '622', '149', 'test_metrics', '103', 'output_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '623', '149', 'test_metrics', '103', 'ai_set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '624', '149', 'test_metrics', '103', 'ai_json', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggestion.json', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '625', '149', 'test_metrics', '103', 'ai_prompt', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggestion.prompt.txt', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '626', '149', 'test_metrics', '103', 'Optimzation set_file', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt.set', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '627', '149', 'test_metrics', '103', 'optimization_report', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-OptimizationReport.htm', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'After', '628', '149', 'test_metrics', '103', 'optimization_report_gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28-AI-Suggest-Opt-OptimizationReport.gif', 'PX3.71_EURCHF_M30_1500_P-1467_DD3033_20220926-20250924_SL3100_WR55.94_PF0.73_T202_M1406717436_V1_S28'
'Before', '618', '149', 'test_metrics', '103', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '618', '149', 'test_metrics', '103', 'input_gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.gif', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '616', '149', 'test_metrics', '103', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '616', '149', 'test_metrics', '103', 'input_html', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72-backtest_report.htm', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '617', '149', 'test_metrics', '103', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'After', '617', '149', 'test_metrics', '103', 'input_set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72'
'Before', '615', '149', NULL, NULL, 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
'After', '615', '149', 'test_metrics', '103', 'set_file', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set', 'PX3.71_EURCHF_M30_1500_P5382_DD1317_20220908-20250908_SL1400_WR54.26_PF1.89_T798_M1742216961_V1_S72.set'
